order_id,timestamp,product_id,quantity,is_priority
1,2024-08-21 16:49:27.193763,181,3,False
1,2024-08-21 16:49:27.193763,162,1,False
1,2024-08-21 16:49:27.193763,805,3,False
1,2024-08-21 16:49:27.193763,30,2,False
1,2024-08-21 16:49:27.193763,497,3,False
2,2024-08-21 16:10:27.193763,101,3,False
2,2024-08-21 16:10:27.193763,243,1,False
3,2024-08-21 21:27:27.193763,56,1,False
3,2024-08-21 21:27:27.193763,912,2,False
3,2024-08-21 21:27:27.193763,447,2,False
3,2024-08-21 21:27:27.193763,149,3,False
4,2024-08-21 20:02:27.193763,131,3,True
4,2024-08-21 20:02:27.193763,33,1,False
4,2024-08-21 20:02:27.193763,709,2,False
5,2024-08-21 20:04:27.193763,619,3,False
5,2024-08-21 20:04:27.193763,161,1,False
5,2024-08-21 20:04:27.193763,809,3,False
6,2024-08-22 02:23:27.193763,883,2,False
6,2024-08-22 02:23:27.193763,222,3,False
6,2024-08-22 02:23:27.193763,606,1,False
6,2024-08-22 02:23:27.193763,485,2,False
7,2024-08-21 22:59:27.193763,920,2,False
7,2024-08-21 22:59:27.193763,6,3,True
7,2024-08-21 22:59:27.193763,428,3,False
7,2024-08-21 22:59:27.193763,46,3,False
7,2024-08-21 22:59:27.193763,42,2,False
8,2024-08-22 01:50:27.193763,973,2,False
8,2024-08-22 01:50:27.193763,224,1,True
8,2024-08-22 01:50:27.193763,136,3,False
8,2024-08-22 01:50:27.193763,368,3,False
9,2024-08-21 21:51:27.193763,475,3,False
9,2024-08-21 21:51:27.193763,791,2,False
9,2024-08-21 21:51:27.193763,142,3,False
9,2024-08-21 21:51:27.193763,896,3,True
10,2024-08-21 19:23:27.193763,304,2,False
11,2024-08-21 22:24:27.193763,814,3,False
11,2024-08-21 22:24:27.193763,213,3,False
11,2024-08-21 22:24:27.193763,807,3,False
11,2024-08-21 22:24:27.193763,702,3,False
11,2024-08-21 22:24:27.193763,83,1,False
12,2024-08-21 21:52:27.193763,376,3,False
12,2024-08-21 21:52:27.193763,180,3,False
12,2024-08-21 21:52:27.193763,664,1,False
13,2024-08-21 21:57:27.193763,756,3,False
13,2024-08-21 21:57:27.193763,962,3,False
13,2024-08-21 21:57:27.193763,771,2,False
13,2024-08-21 21:57:27.193763,595,2,False
